Board,Solution
"..........B....uR..u......u.R.......","1. B e5 right   2. u b3 left   3. B f5 up   4. u a3 down   5. B f6 right"
"....Ru......Bu.......Ru.............","1. B a4 up   2. u f6 left   3. B a5 up   4. u e6 right   5. B a6 left"
"........uu..B..R...............R.u..","1. B a4 up   2. u d1 right   3. B a5 up   4. u e1 right   5. B a6 left"
".......B....R...u...u....R.......u..","1. B b5 left   2. u d1 right   3. B a5 up   4. u e1 right   5. B a6 left"
"R..B..u.........u.....uR............","1. B d6 right   2. u a5 up   3. B e6 right   4. u a6 right   5. B f6 right"
"......u...B...u...........R.u....R..","1. B e5 right   2. u a5 up   3. B f5 up   4. u e2 right   5. B f6 right"
".......Buu..R.......R.u.............","1. B b5 left   2. u e3 right   3. B a5 up   4. u f3 down   5. B a6 left"
".u....R...B....R.......u....u.......","1. B e5 right   2. u b6 left   3. B f5 up   4. u f3 down   5. B f6 right"
".........u..B......RuR.....u........","1. B a4 up   2. u d2 right   3. B a5 up   4. u e2 right   5. B a6 left"
"..B...........u..u.u.........R...R..","1. B c6 left   2. u f4 up   3. B b6 left   4. u f5 up   5. B a6 left"
"..B......u.............uR...u.....R.","1. B c6 left   2. u f3 down   3. B b6 left   4. u f2 down   5. B a6 left"
"R..B.....u...R.....u.............u..","1. B d6 right   2. u d1 right   3. B e6 right   4. u e1 right   5. B f6 right"
"..B...............R...u...u..R..u...","1. B c6 left   2. u c1 left   3. B b6 left   4. u b1 left   5. B a6 left"
"..B....R...........u.R.....u....u...","1. B c6 left   2. u c1 left   3. B b6 left   4. u b1 left   5. B a6 left"
"u..B.....R..u.......u..R............","1. B d6 right   2. u a6 right   3. B e6 right   4. u b6 left   5. B f6 right"
"............u....B..Ru....u...R.....","1. B f4 up   2. u a4 up   3. B f5 up   4. u a5 up   5. B f6 right"
"..B..u....R........u.......Ru.......","1. B c6 left   2. u e2 right   3. B b6 left   4. u f2 down   5. B a6 left"
"R.R...B.u..u.....u..................","1. R a6 right   2. u f5 up   3. B a5 up   4. u f6 left   5. B a6 left"
"...u........Bu......R...........u.R.","1. B a4 up   2. u c1 left   3. B a5 up   4. u b1 left   5. B a6 left"
".u...............B.u....RuR.........","1. B f4 up   2. u b6 left   3. B f5 up   4. u b2 left   5. B f6 right"
".........uB..R....uu..............R.","1. B e5 right   2. u a3 down   3. B f5 up   4. u a2 down   5. B f6 right"
"u.RB...u.R..................u.......","1. B d6 right   2. u e2 right   3. B e6 right   4. u f2 down   5. B f6 right"
"..R....B.u.......u.........R.....u..","1. B b5 left   2. u d1 right   3. B a5 up   4. u e1 right   5. B a6 left"
"...R.u.B.R.........u...u............","1. B b5 left   2. u f3 down   3. B a5 up   4. u f2 down   5. B a6 left"
"..u.....u.BR.............u...R......","1. B e5 up   2. u b2 left   3. B e6 right   4. u a2 down   5. B f6 right"
"..B.....u.RR...u....u...............","1. B c6 left   2. u c5 up   3. B b6 left   4. u c6 left   5. B a6 left"
"...R......B.u..u.........uR.........","1. B e5 right   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
"..B.....uu.........R.....u...R......","1. B c6 left   2. u b2 left   3. B b6 left   4. u a2 down   5. B a6 left"
"...............R.BR.uu....u.........","1. B f4 up   2. u c2 left   3. B f5 up   4. u b2 left   5. B f6 right"
"............R...uB.u.R..........u...","1. B f4 up   2. u c1 left   3. B f5 up   4. u b1 left   5. B f6 right"
"........R...B.u.....u.......u....R..","1. B a4 up   2. u e2 right   3. B a5 up   4. u f2 down   5. B a6 left"
"..B.............Ru.u...u.........R..","1. B c6 left   2. u f3 down   3. B b6 left   4. u f2 down   5. B a6 left"
"..u.....u.B...Ru.........R..........","1. B e5 right   2. u c6 left   3. B f5 up   4. u b6 left   5. B f6 right"
".......B..u.......uR.......R....u...","1. B b5 left   2. u a3 down   3. B a5 up   4. u a2 down   5. B a6 left"
"..........u.B.u..R...R.u............","1. B a4 up   2. u f3 down   3. B a5 up   4. u f2 down   5. B a6 left"
"............uR.u.B.......uR.........","1. B f4 up   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
"..R.........B..uu....R.....u........","1. B a4 up   2. u d2 right   3. B a5 up   4. u e2 right   5. B a6 left"
"..B...........uu..........u....R...R","1. B c6 left   2. u c2 left   3. B b6 left   4. u b2 left   5. B a6 left"
"u..B............u.........Ru....R...","1. B d6 right   2. u a6 right   3. B e6 right   4. u b6 left   5. B f6 right"
".......Ru....u.u.B...R..............","1. B f4 up   2. u c5 up   3. B f5 up   4. u c6 left   5. B f6 right"
"..........B...uu.R.......u...R......","1. B e5 right   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
"...u...Bu.....u.......R........R....","1. B b5 left   2. u d6 right   3. B a5 up   4. u e6 right   5. B a6 left"
"..B..R..u...........u..R..u.........","1. B c6 left   2. u c2 left   3. B b6 left   4. u b2 left   5. B a6 left"
"R..u..B..u.....u.............R......","1. R a6 right   2. u d6 right   3. B a5 up   4. u e6 right   5. B a6 left"
".......Buu.......u........R.....R...","1. B b5 left   2. u f4 up   3. B a5 up   4. u f5 up   5. B a6 left"
"............B.u.u.....uR....R.......","1. B a4 up   2. u e3 right   3. B a5 up   4. u f3 down   5. B a6 left"
"......u.u...R....B.......u.....R....","1. B f4 up   2. u a5 up   3. B f5 up   4. u b2 left   5. B f6 right"
".......B.....u....R.uR...........u..","1. B b5 left   2. u d1 right   3. B a5 up   4. u e1 right   5. B a6 left"
".R.....B....Ru....u....u............","1. B b5 left   2. u a3 down   3. B a5 up   4. u a2 down   5. B a6 left"
"........u...u.R..B.....u...........R","1. B f4 up   2. u f3 down   3. B f5 up   4. u f2 down   5. B f6 right"
".uuB........R......R.....u..........","1. B d6 right   2. u b6 left   3. B e6 right   4. u b2 left   5. B f6 right"
"..R....u..B.............R..uu.......","1. B e5 right   2. u e2 right   3. B f5 up   4. u f2 down   5. B f6 right"
"..B.....R........u......Ruu.........","1. B c6 left   2. u b2 left   3. B b6 left   4. u a2 down   5. B a6 left"
".R.u.u...u..B......R................","1. B a4 up   2. u d6 right   3. B a5 up   4. u f6 down   5. B a6 left"
"..B.u....uR...u..............R......","1. B c6 left   2. u e6 right   3. B b6 left   4. u f6 left   5. B a6 left"
"...u........B.u.u........R...R......","1. B a4 up   2. u d6 right   3. B a5 up   4. u e6 right   5. B a6 left"
"..........B.......uuR.........R.u...","1. B e5 right   2. u a3 down   3. B f5 up   4. u a2 down   5. B f6 right"
"..B.u......u.....R........u..R......","1. B c6 left   2. u e6 right   3. B b6 left   4. u f6 left   5. B a6 left"
"......RB...u...R..u.......u.........","1. B b5 up   2. u f5 up   3. B b6 left   4. u a3 down   5. B a6 left"
"..........R.Buu......u.............R","1. B a4 up   2. u b4 up   3. B a5 up   4. u b5 up   5. B a6 left"
"...B....u.R.u..........R..u.........","1. B d6 right   2. u a4 up   3. B e6 right   4. u a5 up   5. B f6 right"
".u..............RBu....u......R.....","1. B f4 up   2. u b6 left   3. B f5 up   4. u a3 down   5. B f6 right"
"...R...B..u..........u......u.....R.","1. B b5 left   2. u e2 right   3. B a5 up   4. u f2 down   5. B a6 left"
"..........u.B........uu.R..R........","1. B a4 up   2. u e5 up   3. B a5 up   4. u e6 right   5. B a6 left"
"..............u.uB........u.R..R....","1. B f4 up   2. u c2 left   3. B f5 up   4. u b2 left   5. B f6 right"
"u............u...Bu....R....R.......","1. B f4 up   2. u a3 down   3. B f5 up   4. u a2 down   5. B f6 right"
"..B..uR................u...R.....u..","1. B c6 left   2. u f3 down   3. B b6 left   4. u f2 down   5. B a6 left"
"..R.....uR..B...u.........u.........","1. B a4 up   2. u c2 left   3. B a5 up   4. u b2 left   5. B a6 left"
"...B..u.......u.......u.....R......R","1. B d6 right   2. u a5 up   3. B e6 right   4. u a6 right   5. B f6 right"
".....u......B............u......uRR.","1. B a4 up   2. u b2 left   3. B a5 up   4. u a2 down   5. B a6 left"
".........RB..Ru...u...u.............","1. B e5 right   2. u a3 down   3. B f5 up   4. u a2 down   5. B f6 right"
"...B....u.......u.R..u..........R...","1. B d6 right   2. u c5 up   3. B e6 right   4. u c6 left   5. B f6 right"
"..B..u.....R....R...u............u..","1. B c6 left   2. u d1 right   3. B b6 left   4. u e1 right   5. B a6 left"
"...Ru..B....R..u............u.......","1. B b5 left   2. u e6 right   3. B a5 up   4. u e2 right   5. B a6 left"
"..Ru...B.......R...........u....u...","1. B b5 left   2. u c1 left   3. B a5 up   4. u b1 left   5. B a6 left"
"...B........u...RR...u.u............","1. B d6 right   2. u f3 down   3. B e6 right   4. u f2 down   5. B f6 right"
"......R.........uBR...u....u........","1. B f4 up   2. u e3 right   3. B f5 up   4. u f3 down   5. B f6 right"
"..Bu....u.......u...R.......R.......","1. B c6 left   2. u d6 right   3. B b6 left   4. u e6 right   5. B a6 left"
".....u..R...B.Ru................u...","1. B a4 up   2. u c1 left   3. B a5 up   4. u b1 left   5. B a6 left"
"R..B...u.....Ru..................u..","1. B d6 right   2. u d1 right   3. B e6 right   4. u e1 right   5. B f6 right"
"........u...u...RB..........R...u...","1. B f4 up   2. u c1 left   3. B f5 up   4. u b1 left   5. B f6 right"
".R.....u..B...........uu.....R......","1. B e5 right   2. u f3 down   3. B f5 up   4. u f2 down   5. B f6 right"
".....R......B....uu........Ru.......","1. B a4 up   2. u a3 down   3. B a5 up   4. u a2 down   5. B a6 left"
".......Buu...........u......R...R...","1. B b5 left   2. u c5 up   3. B a5 up   4. u c6 left   5. B a6 left"
"...........uB........R.u......R.u...","1. B a4 up   2. u f5 up   3. B a5 up   4. u c1 left   5. B a6 left"
"..Bu....u.....u.......R...R.........","1. B c6 left   2. u d6 right   3. B b6 left   4. u e6 right   5. B a6 left"
"..........u.B.........R....R....uu..","1. B a4 up   2. u c1 left   3. B a5 up   4. u b1 left   5. B a6 left"
".......Bu....R.....u..u.R...........","1. B b5 left   2. u b3 left   3. B a5 up   4. u a3 down   5. B a6 left"
".....R...u.B.u..........R.u.........","1. R f6 left   2. u c2 left   3. B f5 up   4. u b2 left   5. B f6 right"
"........u...u....BRR...u............","1. B f4 up   2. u f3 down   3. B f5 up   4. u f2 down   5. B f6 right"
"..B........R......u.u.R.........u...","1. B c6 left   2. u a3 down   3. B b6 left   4. u a2 down   5. B a6 left"
"..R.........u.u..B.u......R.........","1. B f4 up   2. u a4 up   3. B f5 up   4. u a5 up   5. B f6 right"
".........uB.u..u.RR.................","1. B e5 right   2. u a4 up   3. B f5 up   4. u a5 up   5. B f6 right"
".......R.RB.....u..u........u.......","1. B e5 right   2. u e2 right   3. B f5 up   4. u f2 down   5. B f6 right"
".......B..uR.......R...u...u........","1. B b5 left   2. u f3 down   3. B a5 up   4. u f2 down   5. B a6 left"
".......B.......u....u.RR...u........","1. B b5 left   2. u d2 right   3. B a5 up   4. u e2 right   5. B a6 left"
".R..........Ru...B...u..........u...","1. B f4 up   2. u c1 left   3. B f5 up   4. u b1 left   5. B f6 right"
".........uB.....u...R.u..R..........","1. B e5 right   2. u e3 right   3. B f5 up   4. u f3 down   5. B f6 right"
"......uu..R......B...........R..u...","1. B f4 up   2. u a5 up   3. B f5 up   4. u c1 left   5. B f6 right"
"............B..........uR.u.R....u..","1. B a4 up   2. u f3 down   3. B a5 up   4. u f2 down   5. B a6 left"
".............uuu.B.......R........R.","1. B f4 up   2. u b4 up   3. B f5 up   4. u b5 up   5. B f6 right"
"u...........u...uB..............R.R.","1. B f4 up   2. u a6 right   3. B f5 up   4. u b6 left   5. B f6 right"
"...B........u..u.R..............uR..","1. B d6 right   2. u c1 left   3. B e6 right   4. u b1 left   5. B f6 right"
"..u....u..B...R.......u........R....","1. B e5 right   2. u c6 left   3. B f5 up   4. u b6 left   5. B f6 right"
"R.....B......Ru.....u...........u...","1. R a6 right   2. u c1 left   3. B a5 up   4. u b1 left   5. B a6 left"
".u.B..uu............R.............R.","1. B d6 right   2. u b6 left   3. B e6 right   4. u a6 right   5. B f6 right"
"...B...uuu..R............R..........","1. B d6 right   2. u b5 up   3. B e6 right   4. u b6 left   5. B f6 right"
".R..u..B......u....u..........R.....","1. B b5 left   2. u e6 right   3. B a5 up   4. u f6 left   5. B a6 left"
"..R..............B.u.u.....R....u...","1. B f4 up   2. u c1 left   3. B f5 up   4. u b1 left   5. B f6 right"
"...B..R............uu..u.......R....","1. B d6 right   2. u f3 down   3. B e6 right   4. u f2 down   5. B f6 right"
"..B............u....R....u......uR..","1. B c6 left   2. u b2 left   3. B b6 left   4. u a2 down   5. B a6 left"
"...B...u.....u..R...R...........u...","1. B d6 right   2. u c1 left   3. B e6 right   4. u b1 left   5. B f6 right"
".......B.u...u....u..........R....R.","1. B b5 left   2. u a3 down   3. B a5 up   4. u a2 down   5. B a6 left"
".....u.B.u.u...R....R...............","1. B b5 up   2. u f6 left   3. B b6 left   4. u e6 right   5. B a6 left"
".uRR.....u.......B.........u........","1. B f4 up   2. u b6 left   3. B f5 up   4. u a6 right   5. B f6 right"
"u........u..R....B..............u..R","1. B f4 up   2. u c1 left   3. B f5 up   4. u b1 left   5. B f6 right"
"...R...Bu....u.....u..........R.....","1. B b5 left   2. u b3 left   3. B a5 up   4. u a3 down   5. B a6 left"
".......B..u......u..R.u.........R...","1. B b5 left   2. u e5 up   3. B a5 up   4. u e6 right   5. B a6 left"
".u.B.....u..........u....R........R.","1. B d6 right   2. u b6 left   3. B e6 right   4. u a6 right   5. B f6 right"
"........RuB.....R......u.u..........","1. B e5 right   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
"...B...R.u..R...u...u...............","1. B d6 right   2. u d5 up   3. B e6 right   4. u d6 right   5. B f6 right"
"..B.....R..u......u.....R.......u...","1. B c6 left   2. u f5 up   3. B b6 left   4. u a3 down   5. B a6 left"
"..RB..u.u.......u...R...............","1. B d6 right   2. u a5 up   3. B e6 right   4. u a6 right   5. B f6 right"
".....u.BR.uR....u...................","1. B b5 left   2. u f6 left   3. B a5 up   4. u e6 right   5. B a6 left"
"u......Ru.B..u........R.............","1. B e5 right   2. u a6 right   3. B f5 up   4. u b6 left   5. B f6 right"
"..Bu.u........u...........R.....R...","1. B c6 left   2. u d6 right   3. B b6 left   4. u f6 down   5. B a6 left"
"....R.u...B....u.....u..........R...","1. B e5 right   2. u a5 up   3. B f5 up   4. u a6 right   5. B f6 right"
"...B.........R..u.....u.....R....u..","1. B d6 right   2. u d1 right   3. B e6 right   4. u e1 right   5. B f6 right"
"......u...B........u........R.R.u...","1. B e5 right   2. u a5 up   3. B f5 up   4. u c1 left   5. B f6 right"
".......Bu...........Ru.u......R.....","1. B b5 left   2. u f3 down   3. B a5 up   4. u f2 down   5. B a6 left"
"........u.B.RR.....u.....u..........","1. B e5 right   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
".......B..RR.....u.......uu.........","1. B b5 left   2. u b2 left   3. B a5 up   4. u a2 down   5. B a6 left"
"....u....u..B.............RR.....u..","1. B a4 up   2. u e6 right   3. B a5 up   4. u d1 right   5. B a6 left"
"..B.R.........uu.....u.......R......","1. B c6 left   2. u d3 right   3. B b6 left   4. u e3 right   5. B a6 left"
"u...R..R........uB...............u..","1. B f4 up   2. u d1 right   3. B f5 up   4. u e1 right   5. B f6 right"
".......B.u...R.u....R......u........","1. B b5 left   2. u d2 right   3. B a5 up   4. u e2 right   5. B a6 left"
"u..B.....u..u......R...R............","1. B d6 right   2. u a6 right   3. B e6 right   4. u b6 left   5. B f6 right"
"......u...B..R........R....u....u...","1. B e5 right   2. u a5 up   3. B f5 up   4. u c1 left   5. B f6 right"
".R.B..u........u.....R......u.......","1. B d6 right   2. u a5 up   3. B e6 right   4. u e2 right   5. B f6 right"
".......B........u....u..R.u.......R.","1. B b5 left   2. u c2 left   3. B a5 up   4. u b2 left   5. B a6 left"
"...B............RRu..u....u.........","1. B d6 right   2. u a3 down   3. B e6 right   4. u a2 down   5. B f6 right"
"u..B..........R...u...u.....R.......","1. B d6 right   2. u a3 down   3. B e6 right   4. u a2 down   5. B f6 right"
"...B.......R.R..u....u......u.......","1. B d6 right   2. u e2 right   3. B e6 right   4. u f2 down   5. B f6 right"
"..B................Ru.u....u.....R..","1. B c6 left   2. u e3 right   3. B b6 left   4. u f3 down   5. B a6 left"
"..uB........R......u........R....u..","1. B d6 right   2. u d1 right   3. B e6 right   4. u e1 right   5. B f6 right"
"..u....R..B..u.R.................u..","1. B e5 right   2. u d1 right   3. B f5 up   4. u e1 right   5. B f6 right"
".uRB.............R........u.....u...","1. B d6 right   2. u b6 left   3. B e6 right   4. u c1 left   5. B f6 right"
"............B.u..u........R.u.....R.","1. B a4 up   2. u e2 right   3. B a5 up   4. u f2 down   5. B a6 left"
".......Buu...........u..R........R..","1. B b5 left   2. u c5 up   3. B a5 up   4. u c6 left   5. B a6 left"
"R.....B.....R.u...........u.....u...","1. R a6 right   2. u c1 left   3. B a5 up   4. u b1 left   5. B a6 left"
"......RBu....u..R.....u.............","1. B b5 up   2. u e3 right   3. B b6 left   4. u f3 down   5. B a6 left"
"...B........u...R..R.u.u............","1. B d6 right   2. u f3 down   3. B e6 right   4. u f2 down   5. B f6 right"
"...B..u.............R......uu..R....","1. B d6 right   2. u a5 up   3. B e6 right   4. u e2 right   5. B f6 right"
"R.....B...........R...u..u.......u..","1. R a6 right   2. u b2 left   3. B a5 up   4. u a2 down   5. B a6 left"
".u....R.R.B..............u.u........","1. B e5 right   2. u b6 left   3. B f5 up   4. u b2 left   5. B f6 right"
"............B..uR..u.R......u.......","1. B a4 up   2. u e2 right   3. B a5 up   4. u f2 down   5. B a6 left"
"...B.....u....R.....u.....u.....R...","1. B d6 right   2. u c2 left   3. B e6 right   4. u b2 left   5. B f6 right"
"R.uB...u....R...................u...","1. B d6 right   2. u c1 left   3. B e6 right   4. u b1 left   5. B f6 right"
"..u.....u.B.......R....R..u.........","1. B e5 right   2. u c6 left   3. B f5 up   4. u b6 left   5. B f6 right"
"...R.u......B.......u....Ru.........","1. B a4 up   2. u f6 left   3. B a5 up   4. u e6 right   5. B a6 left"
".R...............B...R...uuu........","1. B f4 up   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
"..B..u.R........R.........u.u.......","1. B c6 left   2. u e2 right   3. B b6 left   4. u f2 down   5. B a6 left"
"..B.....u..................RR...uu..","1. B c6 left   2. u c1 left   3. B b6 left   4. u b1 left   5. B a6 left"
"..u..........R.u.B...........R...u..","1. B f4 up   2. u d1 right   3. B f5 up   4. u e1 right   5. B f6 right"
".....R.B..u..u.............u.......R","1. B b5 left   2. u e5 up   3. B a5 up   4. u e6 right   5. B a6 left"
"....uu...R..B........u..R...........","1. B a4 up   2. u f6 down   3. B a5 up   4. u e6 right   5. B a6 left"
"R...........u...RB.......u.......u..","1. B f4 up   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
".........uR...u..B....R..u..........","1. B f4 up   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
"....u......uB..u...R........R.......","1. B a4 up   2. u e6 right   3. B a5 up   4. u f6 left   5. B a6 left"
"..BR................uu..R...u.......","1. B c6 left   2. u e2 right   3. B b6 left   4. u f2 down   5. B a6 left"
"........uu..BR............R.u.......","1. B a4 up   2. u e2 right   3. B a5 up   4. u f2 down   5. B a6 left"
"..........B..............uuu..R....R","1. B e5 right   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
"..B...................u.......RRuu..","1. B c6 left   2. u c1 left   3. B b6 left   4. u d1 right   5. B a6 left"
"..Ru...B...u.......u..............R.","1. B b5 left   2. u f5 up   3. B a5 up   4. u d6 right   5. B a6 left"
".u........B.....u...u......R.R......","1. B e5 right   2. u b6 left   3. B f5 up   4. u a6 right   5. B f6 right"
"...R...u.........B...u.....R....u...","1. B f4 up   2. u c1 left   3. B f5 up   4. u b1 left   5. B f6 right"
".........uB...u.............u..R...R","1. B e5 right   2. u e2 right   3. B f5 up   4. u f2 down   5. B f6 right"
"..B.....u.........u.....R...uR......","1. B c6 left   2. u a3 down   3. B b6 left   4. u a2 down   5. B a6 left"
"............B.....u...u....u.R.R....","1. B a4 up   2. u a3 down   3. B a5 up   4. u a2 down   5. B a6 left"
"..........u.B...u..R.u.....R........","1. B a4 up   2. u e5 up   3. B a5 up   4. u e6 right   5. B a6 left"
"......u...B.....u...u.......RR......","1. B e5 right   2. u a5 up   3. B f5 up   4. u a6 right   5. B f6 right"
"R.........BR..u......u......u.......","1. B e5 up   2. u e2 right   3. B e6 right   4. u f2 down   5. B f6 right"
".R....R.........uB...uu.............","1. B f4 up   2. u e3 right   3. B f5 up   4. u f3 down   5. B f6 right"
"...B...u...R.........u.u........R...","1. B d6 right   2. u f3 down   3. B e6 right   4. u f2 down   5. B f6 right"
"....u..B......Ru.u.....R............","1. B b5 left   2. u e6 right   3. B a5 up   4. u f6 left   5. B a6 left"
"...B..u..u...............R......u..R","1. B d6 right   2. u a5 up   3. B e6 right   4. u c1 left   5. B f6 right"
".....u.R....B.u....u.R..............","1. B a4 up   2. u f6 left   3. B a5 up   4. u e6 right   5. B a6 left"
".u.B....u.R..u........R.............","1. B d6 right   2. u b6 left   3. B e6 right   4. u a6 right   5. B f6 right"
"..u.......B...u.R......u...R........","1. B e5 right   2. u f3 down   3. B f5 up   4. u f2 down   5. B f6 right"
"..B..............u.uu.R....R........","1. B c6 left   2. u f4 up   3. B b6 left   4. u f5 up   5. B a6 left"
"..B..R...........u.R...u...u........","1. B c6 left   2. u f3 down   3. B b6 left   4. u f2 down   5. B a6 left"
".........R......uB.u........u.R.....","1. B f4 up   2. u e2 right   3. B f5 up   4. u f2 down   5. B f6 right"
"....uu.B...R..u...............R.....","1. B b5 left   2. u f6 down   3. B a5 up   4. u e6 right   5. B a6 left"
"R.....B.Ru...u.........u............","1. R a6 right   2. u f3 down   3. B a5 up   4. u f2 down   5. B a6 left"
"..R....B......R.u.uu................","1. B b5 left   2. u a3 down   3. B a5 up   4. u a2 down   5. B a6 left"
"..R.u.....uRB....................u..","1. B a4 up   2. u e6 right   3. B a5 up   4. u d1 right   5. B a6 left"
"....u.RB...........u.R.u............","1. B b5 up   2. u e6 right   3. B b6 left   4. u f3 down   5. B a6 left"
"uR........B.u..R..........u.........","1. B e5 right   2. u a6 right   3. B f5 up   4. u b6 left   5. B f6 right"
".R.B.........u..u.u.R...............","1. B d6 right   2. u a3 down   3. B e6 right   4. u a2 down   5. B f6 right"
".u..R.R..........B....u.........u...","1. B f4 up   2. u b6 left   3. B f5 up   4. u c1 left   5. B f6 right"
".......BR......uu.u............R....","1. B b5 left   2. u a3 down   3. B a5 up   4. u a2 down   5. B a6 left"
"...R...B......uu...u.......R........","1. B b5 left   2. u b3 left   3. B a5 up   4. u a3 down   5. B a6 left"
"...u........B......u.R...u.....R....","1. B a4 up   2. u b2 left   3. B a5 up   4. u a2 down   5. B a6 left"
".....u.B..u....u......R............R","1. B b5 left   2. u f6 left   3. B a5 up   4. u e6 right   5. B a6 left"
"..B...R...........u.Ru...u..........","1. B c6 left   2. u a3 down   3. B b6 left   4. u a2 down   5. B a6 left"
".........RB....uR....u......u.......","1. B e5 right   2. u e2 right   3. B f5 up   4. u f2 down   5. B f6 right"
"...........uB.....R..u.R...u........","1. B a4 up   2. u f5 up   3. B a5 up   4. u f6 left   5. B a6 left"
"u..B..R.....u.............R......u..","1. B d6 right   2. u d1 right   3. B e6 right   4. u e1 right   5. B f6 right"
"...B...........u.......u.R..u....R..","1. B d6 right   2. u f3 down   3. B e6 right   4. u f2 down   5. B f6 right"
".......B.u.............u........RuR.","1. B b5 left   2. u f3 down   3. B a5 up   4. u f2 down   5. B a6 left"
"...B...u..........u.R......Ru.......","1. B d6 right   2. u a3 down   3. B e6 right   4. u a2 down   5. B f6 right"
"...R..RB............u.u.....u.......","1. B b5 up   2. u e2 right   3. B b6 left   4. u f2 down   5. B a6 left"
"u.....u...B......R....R.........u...","1. B e5 right   2. u c1 left   3. B f5 up   4. u b1 left   5. B f6 right"
"..R.....u...u...uB.............R....","1. B f4 up   2. u a4 up   3. B f5 up   4. u a5 up   5. B f6 right"
"...B....u.....uu...........R.....R..","1. B d6 right   2. u c5 up   3. B e6 right   4. u c6 left   5. B f6 right"
"..RB..u....R.........u..........u...","1. B d6 right   2. u a5 up   3. B e6 right   4. u c1 left   5. B f6 right"
"...B.....u....u....R...........Ru...","1. B d6 right   2. u c1 left   3. B e6 right   4. u b1 left   5. B f6 right"
"....Ru......B..u.u.....R............","1. B a4 up   2. u f6 left   3. B a5 up   4. u e6 right   5. B a6 left"
"........u...B..u........R.u...R.....","1. B a4 up   2. u c2 left   3. B a5 up   4. u b2 left   5. B a6 left"
"..u...u........u.B...........R.....R","1. B f4 up   2. u a5 up   3. B f5 up   4. u a6 right   5. B f6 right"
"......u...B...........RR..u.....u...","1. B e5 right   2. u a5 up   3. B f5 up   4. u c1 left   5. B f6 right"
"Ru........B....u.R.....u............","1. B e5 right   2. u b6 left   3. B f5 up   4. u f3 down   5. B f6 right"
"............BR...u...R.u........u...","1. B a4 up   2. u c1 left   3. B a5 up   4. u b1 left   5. B a6 left"
".......R..B..u..u................u.R","1. B e5 right   2. u d1 right   3. B f5 up   4. u e1 right   5. B f6 right"
".u.....u....R....B...u............R.","1. B f4 up   2. u b6 left   3. B f5 up   4. u a6 right   5. B f6 right"
"..B................u..u..R..R....u..","1. B c6 left   2. u d1 right   3. B b6 left   4. u e1 right   5. B a6 left"
".R.....B.uu....u..........R.........","1. B b5 left   2. u e5 up   3. B a5 up   4. u e6 right   5. B a6 left"
"u.R....u..B.......u......R..........","1. B e5 right   2. u a3 down   3. B f5 up   4. u a2 down   5. B f6 right"
"R..B................uu.R.u..........","1. B d6 right   2. u b2 left   3. B e6 right   4. u a2 down   5. B f6 right"
"...B.....u........uR..u...R.........","1. B d6 right   2. u a3 down   3. B e6 right   4. u a2 down   5. B f6 right"
"...B...............u.uRR...u........","1. B d6 right   2. u b3 left   3. B e6 right   4. u a3 down   5. B f6 right"
"........R...Bu.uR.u.................","1. B a4 up   2. u a3 down   3. B a5 up   4. u a2 down   5. B a6 left"
"........u...B..u...R........u...R...","1. B a4 up   2. u e2 right   3. B a5 up   4. u f2 down   5. B a6 left"
"....R.....B...u......u.u..R.........","1. B e5 right   2. u f3 down   3. B f5 up   4. u f2 down   5. B f6 right"
".....u..uR..B...u...........R.......","1. B a4 up   2. u f6 left   3. B a5 up   4. u e6 right   5. B a6 left"
"..B....Ru.u......u...........R......","1. B c6 left   2. u e5 up   3. B b6 left   4. u e6 right   5. B a6 left"
".......B.........u.u.R.........R.u..","1. B b5 left   2. u d1 right   3. B a5 up   4. u e1 right   5. B a6 left"
"...B...uu.RR....u...................","1. B d6 right   2. u b5 up   3. B e6 right   4. u b6 left   5. B f6 right"
"....R...u.u.B...............u......R","1. B a4 up   2. u e2 right   3. B a5 up   4. u f2 down   5. B a6 left"
".R..R...u......u.B.......u..........","1. B f4 up   2. u b2 left   3. B f5 up   4. u a2 down   5. B f6 right"
"...B..u...............u..u.....R..R.","1. B d6 right   2. u a5 up   3. B e6 right   4. u b2 left   5. B f6 right"
"...u.......uB.........RR..u.........","1. B a4 up   2. u f5 up   3. B a5 up   4. u d6 right   5. B a6 left"
"..........B......Ru.u...R........u..","1. B e5 right   2. u a3 down   3. B f5 up   4. u a2 down   5. B f6 right"
"..R..R...u.B..u...u.................","1. R f6 left   2. u a3 down   3. B f5 up   4. u a2 down   5. B f6 right"
"u...R.....B....u..R..............u..","1. B e5 right   2. u d1 right   3. B f5 up   4. u e1 right   5. B f6 right"
"..BR......u.........uR.u............","1. B c6 left   2. u f3 down   3. B b6 left   4. u f2 down   5. B a6 left"
"..B...R......uu.u................R..","1. B c6 left   2. u b4 up   3. B b6 left   4. u b5 up   5. B a6 left"
